"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"273","Anderson Silva","Daniel Cormier",104,220,"red","DEC"
"274","Vik Grujic","Chris Indich",4,12,"blue","KO/TKO"
"275","Tom Niinimaki","Chas Skelly",7,19,"red","SUB"
"276","Michael Bisping","Anderson Silva",241,67,"blue","DEC"
"277","Konstantin Erokhin","Gabriel Gonzaga",17,54,"red","DEC"
"278","Evan Dunham","Ross Pearson",162,71,"blue","DEC"
"279","Charles Oliveira","Max Holloway",47,438,"red","KO/TKO"
"280","Antonio Silva","Mark Hunt",23,74,"red","KO/TKO"
"281","Ryan Benoit","Sergio Pettis",0,181,"blue","KO/TKO"
"282","Andreas Stahl","Santiago Ponzinibbio",60,33,"red","KO/TKO"
"283","Rafael Natal","Uriah Hall",138,69,"blue","DEC"
"284","Elvis Mutapcic","Kevin Casey",38,57,"draw",""
"285","Ulka Sasaki","Leandro Issa",5,61,"red","SUB"
"286","Mike Rhodes","Erick Silva",98,43,"red","SUB"
"287","Ray Borg","Louis Smolka",79,372,"blue","DEC"
"288","Rob Whiteford","Darren Elkins",46,105,"red","DEC"
"289","Richard Walsh","Alan Jouban",130,104,"red","KO/TKO"
"290","Hacran Dias","Cub Swanson",78,141,"red","DEC"
"291","Jason Novelli","David Teymur",0,38,"red","KO/TKO"
"292","Rashad Evans","Glover Teixeira",25,179,"red","KO/TKO"
"293","Joe Soto","Marco Beltran",164,20,"blue","SUB"
"294","Mark Eddiva","Dan Hooker",135,19,"red","SUB"
"295","Ron Stallings","Uriah Hall",0,42,"red","KO/TKO"
"296","Jeremy Kennedy","Rony Jason",27,47,"blue","DEC"
"297","Clint Hester","Vitor Miranda",140,35,"red","KO/TKO"
"298","Christian Colombo","Luis Henrique",76,20,"red","SUB"
"299","Angela Hill","Jessica Andrade",39,313,"red","DEC"
"300","Rustam Khabilov","Jason Saggo",159,107,"blue","DEC"
"301","Uriah Hall","Gegard Mousasi",187,309,"red","KO/TKO"
"302","Derek Brunson","Ed Herman",50,51,"blue","KO/TKO"
"303","Peter Sobotta","Kyle Noke",53,50,"red","KO/TKO"
"304","Scott Holtzman","Josh Emmett",162,54,"red","DEC"
"305","Stephen Thompson","Tyron Woodley",210,114,"red","DEC"
"306","Bryan Caraway","Aljamain Sterling",107,163,"blue","DEC"
"307","Nordine Taleb","Warlley Alves",84,66,"red","SUB"
"308","Will Brooks","Ross Pearson",0,229,"blue","DEC"
"309","Nina Ansaroff","Jocelyn Jones-Lybarger",115,108,"blue","SUB"
"310","Fredy Serrano","Ryan Benoit",0,29,"red","DEC"
